Parent Link,Parent Title,Child Link,Child Title
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tel_Aviv',b'Tel Aviv'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport',b'Charles de Gaulle Airport'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Orly_Airport',b'Orly Airport'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_M%C3%A9tro',b'Paris M\xc3\xa9tro'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Moscow_Metro',b'Moscow Metro'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gare_du_Nord',b'Gare du Nord'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Japan',b'Japan'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/COVID-19',b'COVID-19'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Orsay',"b""Mus\xc3\xa9e d'Orsay"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_Marmottan_Monet',b'Mus\xc3\xa9e Marmottan Monet'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_de_l%27Orangerie',"b""Mus\xc3\xa9e de l'Orangerie"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Impressionism',b'Impressionism'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Pompidou_Centre',b'Pompidou Centre'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_National_d%27Art_Moderne',"b""Mus\xc3\xa9e National d'Art Moderne"""

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Modern_art',b'Modern art'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Contemporary_art',b'Contemporary art'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_Rodin',b'Mus\xc3\xa9e Rodin'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Mus%C3%A9e_Picasso',b'Mus\xc3\xa9e Picasso'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UNESCO',b'UNESCO'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/World_Heritage_Site',b'World Heritage Site'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Notre_Dame_de_Paris',b'Notre Dame de Paris'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/%C3%8Ele_de_la_Cit%C3%A9',b'\xc3\x8ele de la Cit\xc3\xa9'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Notre-Dame_de_Paris_fire',b'Notre-Dame de Paris fire'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Sainte-Chapelle',b'Sainte-Chapelle'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Exposition_Universelle_(1889)',b'Exposition Universelle (1889)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Grand_Palais',b'Grand Palais'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Petit_Palais',b'Petit Palais'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Exposition_Universelle_(1900)',b'Exposition Universelle (1900)'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Champs-%C3%89lys%C3%A9es',b'Champs-\xc3\x89lys\xc3\xa9es'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Montmartre',b'Montmartre'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',"b'https://en.wikipedia.org/wiki/Sacr%C3%A9-C%C5%93ur,_Paris'","b'Sacr\xc3\xa9-C\xc5\x93ur, Paris'"

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/United_Nations',b'United Nations'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/OECD',b'OECD'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/OECD_Development_Centre',b'OECD Development Centre'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/International_Bureau_of_Weights_and_Measures',b'International Bureau of Weights and Measures'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/International_Energy_Agency',b'International Energy Agency'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/International_Federation_for_Human_Rights',b'International Federation for Human Rights'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/European_Space_Agency',b'European Space Agency'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/European_Banking_Authority',b'European Banking Authority'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/European_Securities_and_Markets_Authority',b'European Securities and Markets Authority'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Association_football',b'Association football'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.',b'Paris Saint-Germain F.C.'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rugby_union',b'Rugby union'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_Fran%C3%A7ais',b'Stade Fran\xc3\xa7ais'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_de_France',b'Stade de France'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1998_FIFA_World_Cup',b'1998 FIFA World Cup'

b'https://en.wikipedia.org/wiki/Paris',b'Paris',"b'https://en.wikipedia.org/wiki/Saint-Denis,_Seine-Saint-Denis'","b'Saint-Denis, Seine-Saint-Denis'"

