Parent Link,Parent Title,Child Link,"Child Title, Weights"
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Association_football',b'Association football',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.',b'Paris Saint-Germain F.C.',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rugby_union',b'Rugby union',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_Fran%C3%A7ais',b'Stade Fran\xc3\xa7ais',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_de_France',b'Stade de France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1998_FIFA_World_Cup',b'1998 FIFA World Cup',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',"b'https://en.wikipedia.org/wiki/Saint-Denis,_Seine-Saint-Denis'","b'Saint-Denis, Seine-Saint-Denis'",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_Open',b'French Open',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Grand_Slam_(tennis)',b'Grand Slam (tennis)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tennis',b'Tennis',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Stade_Roland_Garros',b'Stade Roland Garros',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1900_Summer_Olympics',b'1900 Summer Olympics',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1924_Summer_Olympics',b'1924 Summer Olympics',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/2024_Summer_Olympics',b'2024 Summer Olympics',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1938_FIFA_World_Cup',b'1938 FIFA World Cup',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/2007_Rugby_World_Cup',b'2007 Rugby World Cup',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/1960_European_Nations%27_Cup',"b""1960 European Nations' Cup""",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_Euro_1984',b'UEFA Euro 1984',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_Euro_2016',b'UEFA Euro 2016',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/UEFA_European_Championship',b'UEFA European Championship',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tour_de_France',b'Tour de France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Road_bicycle_racing',b'Road bicycle racing',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Avenue_des_Champs-%C3%89lys%C3%A9es',b'Avenue des Champs-\xc3\x89lys\xc3\xa9es',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Oppidum',b'Oppidum',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Julius_Caesar',b'Julius Caesar',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Lutetia',b'Lutetia',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Parisii_(France)',b'Parisii (France)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Celtic_languages',b'Celtic languages',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gaulish',b'Gaulish',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gauls',b'Gauls',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/La_T%C3%A8ne_culture',b'La T\xc3\xa8ne culture',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Roman_period',b'Roman period',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Ethnonym',b'Ethnonym',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Xavier_Delamarre',b'Xavier Delamarre',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Alfred_Holder',b'Alfred Holder',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Welsh_language',b'Welsh language',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Proto-Celtic',b'Proto-Celtic',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Pierre-Yves_Lambert',b'Pierre-Yves Lambert',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Old_Irish',b'Old Irish',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_(mythology)',b'Paris (mythology)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Greek_mythology',b'Greek mythology',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Age_of_Enlightenment',b'Age of Enlightenment',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Street_light',b'Street light',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gas_lighting',b'Gas lighting',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_du_Carrousel',b'Place du Carrousel',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rue_de_Rivoli',b'Rue de Rivoli',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_Vend%C3%B4me',b'Place Vend\xc3\xb4me',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Argot',b'Argot',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org//upload.wikimedia.org/wikipedia/commons/c/cb/Parisien2.ogg',b'Parisien2.ogg',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org//upload.wikimedia.org/wikipedia/commons/b/b9/Parigot.ogg',b'Parigot.ogg',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/History_of_Paris',b'History of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Timeline_of_Paris',b'Timeline of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Parisii_(Gaul)',b'Parisii (Gaul)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Celt',b'Celt',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Senones',b'Senones',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Roman_Empire',b'Roman Empire',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_Basin',b'Paris Basin',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Rive_Gauche',b'Rive Gauche',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Amphitheatre',b'Amphitheatre',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Western_Roman_Empire',b'Western Roman Empire',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Christianity',b'Christianity',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Saint_Denis_of_Paris',b'Saint Denis of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Basilica_of_Saint-Denis',b'Basilica of Saint-Denis',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Clovis_I',b'Clovis I',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Merovingian_dynasty',b'Merovingian dynasty',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Franks',b'Franks',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Francien',b'Francien',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Siege_of_Paris_(845)',b'Siege of Paris (845)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Siege_of_Paris_(885%E2%80%93886)',b'Siege of Paris (885\xe2\x80\x93886)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Count_of_Paris',b'Count of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Odo_of_France',b'Odo of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/West_Francia',b'West Francia',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/House_of_Capet',b'House of Capet',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Hugh_Capet',b'Hugh Capet',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Duke_of_the_Franks',b'Duke of the Franks',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_Middle_Ages',b'Paris in the Middle Ages',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_16th_century',b'Paris in the 16th century',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Paris_in_the_17th_century',b'Paris in the 17th century',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palais_de_la_Cit%C3%A9',b'Palais de la Cit\xc3\xa9',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tr%C3%A8s_Riches_Heures_du_duc_de_Berry',b'Tr\xc3\xa8s Riches Heures du duc de Berry',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_VII_of_France',b'Louis VII of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Maurice_de_Sully',b'Maurice de Sully',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Les_Halles',b'Les Halles',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_de_l%27H%C3%B4tel-de-Ville_%E2%80%93_Esplanade_de_la_Lib%C3%A9ration',"b""Place de l'H\xc3\xb4tel-de-Ville \xe2\x80\x93 Esplanade de la Lib\xc3\xa9ration""",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Philip_II_of_France',b'Philip II of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/University_of_Paris',b'University of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/H%C3%B4tel_de_Sens',b'H\xc3\xb4tel de Sens',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Hundred_Years%27_War',"b""Hundred Years' War""",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Burgundian_State',b'Burgundian State',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Henry_V_of_England',b'Henry V of England',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Joan_of_Arc',b'Joan of Arc',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_Wars_of_Religion',b'French Wars of Religion',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Catholic_League_(French)',b'Catholic League (French)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/St._Bartholomew%27s_Day_massacre',"b""St. Bartholomew's Day massacre""",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Henry_IV_of_France',b'Henry IV of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Pont_Neuf',b'Pont Neuf',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Tuileries_Palace',b'Tuileries Palace',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Place_des_Vosges',b'Place des Vosges',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Cardinal_Richelieu',b'Cardinal Richelieu',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_XIII_of_France',b'Louis XIII of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/College_of_Sorbonne',b'College of Sorbonne',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palais-Royal',b'Palais-Royal',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Jan_Janssonius',b'Jan Janssonius',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Fronde',b'Fronde',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louis_XIV_of_France',b'Louis XIV of France',2222
